distance_km,beds,icu_beds,trauma,emergency_match,priority,suitable
1.2,20,5,1,1,3,1
2.5,15,3,1,1,3,1
4.8,30,8,1,1,3,1
6.5,25,6,1,1,3,1
8.2,40,10,1,1,3,1
3.1,2,0,0,1,3,0
5.5,4,1,0,1,3,0
9.2,3,0,1,1,3,0
2.0,1,0,0,1,3,0
7.5,10,2,1,0,3,0
1.5,12,2,1,1,2,1
3.2,8,2,1,1,2,1
4.5,20,5,1,1,2,1
6.8,18,4,1,1,2,1
9.0,30,7,1,1,2,1
2.2,3,0,0,1,2,0
5.0,5,1,0,1,2,0
7.2,2,0,1,1,2,0
3.8,1,0,0,1,2,0
8.5,15,3,1,0,2,0
1.0,25,6,1,1,1,1
2.8,18,4,1,1,1,1
4.2,10,2,1,1,1,1
5.7,22,5,1,1,1,1
7.0,35,8,1,1,1,1
2.5,2,0,0,1,1,0
4.0,4,1,0,1,1,0
6.3,1,0,1,1,1,0
8.0,6,1,0,1,1,0
3.5,20,5,1,0,1,0
1.8,16,3,1,1,3,1
2.9,11,2,1,1,3,1
3.7,14,3,1,1,3,1
5.2,28,6,1,1,3,1
6.0,35,9,1,1,3,1
2.1,2,0,0,1,3,0
4.7,3,1,0,1,3,0
7.0,5,1,1,1,3,0
8.5,2,0,1,1,3,0
3.0,18,4,1,0,3,0
